Ford,Mustang,310-760 hp,350-625 lb-ft,6-speed manual/10-speed automatic,RWD,16-21 mpg city / 24-32 mpg highway,2015-2021,Gas V6/V8,5W-20,V6 (6.0 quarts (with filter)) V8(10.0 quarts (with filter)),"The low-pressure fuel supply line may be damaged or cut, which can result in a fuel leak."
Nissan,Versa,122,114,CVT,FWD,32-35 mpg,2019-2022,Gas,0W-20,3.7 quarts (with filter),"Due to a manufacturing issue, the driver's air bag inflator may absorb moisture, and cause the air bag to deploy improperly"
Nissan,Rogue,181,181,CVT,FWD or AWD,27-30 mpg,2019-2022,Gas,0W-20,4.9 quarts (with filter),"The lap belt pretensioner in the left-side front seat belt assembly may be improperly secured, due to a missing rivet."
Nissan,Murano,260,240,CVT,FWD or AWD,20-24 mpg,2019-2022,Gas,0W-20,5.1 quarts (with filter),"The Hybrid Powertrain Control Module (HPCM) software may shut down the hybrid system and the engine under certain conditions, causing a loss of drive power."
Nissan,Pathfinder,284-284,259-259,9-speed automatic,FWD or AWD,20-24 mpg,2019-2022,Gas,0W-20,5.1 quarts (with filter),"The lap belt pretensioner in the left-side front seat belt assembly may be improperly secured, due to a missing rivet."
Nissan,Armada,390,394,7-speed automatic,RWD or AWD,13-16 mpg,2019-2022,Gas,0W-20,6.9 quarts (with filter),The resin emblem on the driver's air bag cover may develop cracks and detach during air bag deployment
Nissan,GT-R,565-600,467-481,6-speed automatic,AWD,16-20 mpg,2019-2022,Gas,0W-40,5.3 quarts (with filter),The front steering knuckle or rear axle housing may have insufficient strength due to improper heat-treatment
Honda,Accord,192,192,10-speed automatic,FWD,27 city / 37 mpg,2021-present,4-cylinder,0W-20,3.4 quarts (with filter),Fuel pump inside tank may fail
Honda,Civic,158,138,CVT automatic,FWD,31 city / 40 mpg,2022-present,4-cylinder,0W-20,3.7 quarts (with filter),Fuel pump inside tank may fail
Honda,CR-V,190,179,10-speed automatic,FWD or AWD,27 city / 32 mpg,2023-present,4-cylinder,0W-20,3.7 quarts (with filter),Fuel pump inside tank may fail
Honda,HR-V,158,138,CVT automatic,FWD,28 city / 32 mpg,2023-present,4-cylinder,0W-20,3.7 quarts (with filter),Fuel pump inside tank may fail
Honda,Odyssey,280,262,10-speed automatic,FWD,19 city / 28 mpg,2023-present,V6,0W-20,5.7 quarts (with filter),Fuel pump inside tank may fail
Honda,Pilot,280,262,9-speed automatic,FWD or AWD,19 city / 26 mpg,2023-present,V6,0W-20,5.7 quarts (with filter),Fuel pump inside tank may fail
Honda,Insight,151,134,CVT automatic,FWD,49 city / 47 mpg,2023-present,4-cylinder,0W-20,3.7 quarts (with filter),Fuel pump inside tank may fail
Honda,NSX,573,492,9-speed automatic,RWD,21 city / 28 mpg,2016-present,V6,0W-40,7.5 quarts (with filter),Fuel pump inside tank may fail
Honda,S2000,240,162,6-speed manual,RWD,20 city / 28 mpg,1999-2009,4-cylinder,10W-30,5.1 quarts (with filter),"When the convertible top is down and the seats are pushed back, the seat belts may not retract properly."
Toyota,Camry,203-301 hp,182-267 lb-ft,8-speed automatic,FWD,26-34 mpg,2018-2021,2.5L 4-cylinder / 3.5L V6,0W-16,4.8 quarts (with filter),"Vacuum Pump Failure, Fuel Pump Issue"
Toyota,Corolla,169 hp,151 lb-ft,Continuously variable-speed automatic,FWD,30-33 mpg,2019-2021,2.0L 4-cylinder,0W-20,6.4 quarts (with filter),"Fuel Pump Issue, Front Passenger Airbag"
Toyota,RAV4,203-219 hp,184-265 lb-ft,8-speed automatic,FWD / AWD,27-40 mpg,2019-2021,2.5L 4-cylinder,0W-16,4.4 quarts (with filter),"Fuel Pump Issue, Lower Suspension Arm"
Toyota,Highlander,295-295 hp,263-263 lb-ft,8-speed automatic,FWD / AWD,21-36 mpg,2019-2021,3.5L V6,0W-16,5.8 quarts (with filter),"Fuel Pump Issue, Rear Seat Belt"
Toyota,4Runner,270 hp,278 lb-ft,5-speed automatic,RWD / 4WD,16-19 mpg,2018-2021,4.0L V6,0W-20,6.6 quarts (with filter),"Fuel Pump Issue, Brake Assist Issue"
Toyota,Tacoma,159-278 hp,180-265 lb-ft,6-speed automatic / 6-speed manual,RWD / 4WD,18-23 mpg,2019-2021,2.7L 4-cylinder / 3.5L V6,0W-20,6.2 quarts (with filter),"Fuel Pump Issue, Engine Stall Issue"
Toyota,Tundra,381 hp,401 lb-ft,6-speed automatic,RWD / 4WD,13-17 mpg,2018-2021,5.7L V8,0W-20,8.5 quarts (with filter),"Fuel Pump Issue, Headlights Issue"
Toyota,Prius,139,126,CVT automatic,FWD,53 city / 49 mpg,2020-present,4-cylinder,0W-16,4.4 quarts (with filter),No Open Recalls
Toyota,GR Supra,382,368,8-speed automatic,RWD,22 city / 31 mpg,2020-present,Inline-6,0W-20,6.9 quarts (with filter),"During engine start, the engine management software may cause loss of braking assist."
Toyota,86,205,156,6-speed manual,RWD,21 city / 30 mpg,2020-present,Boxer,0W-20,5.7 quarts (with filter),low-pressure fuel pump inside the fuel tank
